用户,是否看过,评分,评论时间,有用数,评论,
Peter Cat,看过,推荐,2016/3/8 6:26,59,政治正确本身不应该够成扣分点（主流商业片你还想看到什么呢？不想看政治正确就不要看商业片），但如何植入政治正确则是高下立判功夫。就个人来说，已经好久没有这样被一部商业片满足了。。。让人懒得去挑剔，而不断觉得创作者很聪明。,
水湄物语,看过,力荐,2016/3/11 14:49,159,为什么你们要扼杀一个商业天才啊！！！单日5倍盈利，这是什么样的能力啊？！ 只有我一个人对结局不满意么？,
淡島百景,看过,较差,2016/3/5 12:47,135,感觉这个片的白左癌非常严重啊。,
可可爱爱乔,看过,力荐,2016/3/4 23:01,123,有没有一百星可以打，真该感谢这次是北美同步。我更觉得这是一部电影而不是动画，因为迪士尼构建的世界太真实。往深了看，带偏见做事对人是很不nice的~往浅了看，这样一部好笑又萌萌哒的电影绝对是生活必备。and 要二刷,
lichol,看过,推荐,2017/5/9 9:33,12,用想象力拍出真实世界难以实现的故事,
梦梦梦梦,看过,力荐,2017/4/2 10:21,20,很好看啊，音乐好听，特效也很棒，还挺好笑。,
遇见彩虹🌈,看过,力荐,2017/11/4 21:17,71,剧情出乎意料的不简单。朱迪的成长经历相当励志了，一只有梦想的兔子。场景也让人目不暇接，剧情节奏紧凑，笑点很多。闪电树懒那段真是乐死了。,
二丫主张,看过,推荐,2018/1/29 21:52,76,原来兔子和狐狸的CP也可以这么萌，既有搞笑元素又有惊悚元素，大人小孩可以一起看的有趣动画片。,
多看电影爱电影,看过,力荐,2017/1/11 10:50,18,超级喜欢，年初看的，喜欢了一年，尤其孩子十分喜欢！,
情不可说,看过,力荐,2018/3/28 11:48,17,细节很赞,
张小瑾,看过,力荐,2016/3/2 23:19,103,这是2016年迄今为止看的最棒的一部动画！有笑点，树懒激萌，全场都是要哭了！教父还有breaking bad的模仿梗也特别赞了！有泪点，来自不同圈子的友谊的摩擦！还有深思！,
Dr.Ray,看过,力荐,2016/3/4 22:59,101,9分。进击的迪士尼！说是神作也不过分~Zootopia才是更适合它的名字：把现实世界与动物城完美转换，各种致敬与隐喻讽刺包袱萌点应接不暇，几乎从头笑到尾！人设太迷人！如此大的野心，让大人孩子各取所需！得承认是有一些套路的东西，然而看完全片，你打高分的冲动根本按捺不下啊！,
深深的蓝,看过,力荐,2016/3/4 2:16,86,这部动画不靠卖萌取胜,
东篱,看过,力荐,2018/1/28 19:24,91,树懒实在太搞笑啦～哈哈，风靡一时的表情包，朱迪和狐狸先生好可爱,
冰拿铁,看过,力荐,2016/3/3 1:27,78,喜欢每一个人物啊！老是期待兔子和狐狸有点感情戏什么的~~~树懒慢到整个世界都不好了哈哈哈哈,
小岩井,看过,力荐,2016/3/14 2:02,82,谁都不知道我为何一个人在电影院看这部电影看到哭，人生的机遇，真是充满讽刺。,
卢十四,看过,力荐,2016/3/11 22:32,63,看《疯狂动物城》，感觉就像看乔峰打太祖长拳。都是最普通最寻常的套路，硬是打出了武学名家毕生追求的至高境界。,
安德烈大叔,看过,推荐,2016/3/4 22:04,45,作为一部动画它表达的足够多足够深了，人类社会的各类偏见和歧视要是真像电影里那么容易解决就好了。虽然一开始就猜到谁会成为大坏蛋但是基本不影响观看，因为细节太丰富。教父那段笑抽了，可是电影院似乎只有我在笑，可见我有多孤独。,
