用户,是否看过,评分,评论时间,有用数,评论
kathyy,看过,推荐,2016/8/29 1:08,64,不要因為像爛片一樣的名字而錯過這部電影。作為一個非喪屍片愛好者，很幸運因為腸胃炎沒吃東西就進電影院⋯恐怖氣氛一流，煽情力度一流，男主角從自私自利到無私奉獻的成長，人性的善惡對比等等。故事已經很完整，收尾還來了個小反轉：如果小女孩沒有唱歌，那最後的結局又如何呢？人性就在一線之差
橐龠,看过,推荐,2018/1/30 9:53,56,刚开始有点害怕，但是后来就越来越感动，虽然是部丧尸片，但是我看到了人性的温暖，不管现在的我们是什么样，但内心深处都有一个柔软的地方，小女孩歌声里就是未来的希望
愿此间山有木兮,看过,还行,2018/1/25 19:40,80,哇这里面的丧尸简直太可怕了！跑的也太快了吧！！！和我之前看的完全不一样，一个个简直跑的飞快！我深深的感觉如果是我我早就挂了，跑不动跑不动啊
朝暮雪,看过,还行,2016/9/14 1:28,57,来不及解释了，快上车！
东篱,看过,力荐,2018/2/19 12:27,78,很感人的丧尸片，惊悚中透露着温情，人性并不是只有丑陋的一面，胖大叔让人觉得很温暖
沈贵人的酒,看过,力荐,2018/1/20 2:19,76,听说是一部恐怖片，大半夜几个人关了灯，在寝室里面看，看哭了几个人，也吓到了几个人，男主和女主是熔炉里的两人吧
薄荷清凉,看过,推荐,2018/2/8 11:49,59,看过这部电影真的印象很深刻，丧尸恐怖的样子很让人害怕，几位主角也很有特点，爱情，亲情，友情都演绎得很好，好几位都选择了牺牲自己，只为了救自己最爱的人，又恐怖又紧张刺激又感人
A天涯任我行,看过,推荐,2018/2/12 23:34,47,最具温情的丧尸片，没有过度的惊悚，更多的展现情感的交融，看着很让人回味。
开心的小叮当,看过,推荐,2018/2/7 9:50,43,父女俩一路挣扎过来，终于快看到希望！结果父亲却被丧尸咬了。为了保护自己的女儿，他把自己拴在火车上！看着都有点难过☹
嬛嬛一裊楚宮腰,看过,还行,2018/1/30 11:01,55,除了看了令人熱血沸騰、驚心動魄的殭尸情節，還有溫馨的親情也佔了很大一部分，是一部值得好好欣賞的電影。
艾小柯,看过,还行,2016/10/2 11:55,55,最煽情的僵尸片！节奏感不错，僵尸的奔跑速度令人震惊。有些片段的处理还比较细腻，比如怀孕那一对的彼此对话等。主人公父女的表现则比较一般，中规中矩没有亮点。
baochen,看过,推荐,2018/1/31 9:32,61,韓國電影對人性的刻劃 感情的傳達 真的很厲害 值得一看
章鱼烧鱼章™,看过,推荐,2016/9/12 14:54,64,良心群演！
河堤上的貓,看过,力荐,2018/1/17 23:40,43,看過這麼多的殭屍片，這部是裡面最感人的，尤其是有了孩子後感受更深，都流淚了很感人
飞翔,看过,还行,2016/9/17 0:09,61,只能说还行吧，因为上了gana，喷子们就对棒子的电影这么崇拜，还贬低中国电影，这到底是怎么了？
谁家今夜扁舟子,看过,还行,2018/2/11 16:13,41,好奇心让我点进去，求生欲让我退出来，还是在满屏弹幕中看完了，我果然不适合看恐怖的东西。
易老邪,看过,较差,2016/9/16 0:13,62,三流丧尸片，一点不好看。
恶魔的步调,看过,推荐,2016/9/12 22:20,56,生死尸速。孕妇和胖子的组合实在太美。宪哥这个贱人，终极害人精啊！
changheluo,看过,推荐,2016/8/6 0:27,72,1 紧张刺激，悲喜交加。特别是丧尸们演的太不容易了，真心赞。2 政治不正确地说，有点像当年朝鲜革命军把南韩伪军逼到釜山一隅的感觉。可是到底没等到美军在仁川登陆。
大奇特(Grinch),看过,还行,2016/9/11 23:17,52,《卡桑德拉大桥》的里，《僵尸世界大战》的表，对于丧尸的特点及弱点，拥有合理的编排；几对人物关系间的前后反差与连锁反应，提供了情感的力量，将它们与“吃”人社会做对比，比如何抗丧尸更具看点。
都是猕猴桃的错,看过,推荐,2016/9/17 0:09,65,感人归感人，可是能不能遵守一下丧尸基本法，不要跑起来？
魏晓波,看过,还行,2016/9/13 0:53,54,明年外星人应该会入侵韩国了
恶魔的步调,看过,推荐,2016/9/12 22:20,56,生死尸速。孕妇和胖子的组合实在太美。宪哥这个贱人，终极害人精啊！
旅途人生,看过,推荐,2017/2/13 7:23,41,第一次看僵尸片，虽然并不恐怖，但令人感觉很不舒服！说这部电影领先中国30年毫不夸张！不说别的，就这敬业精神就不是中国演员能比的，群演的僵尸很逼真，如果换成中国绝对能成喜剧！考验人性，男主也从自私之人变成无私奉献之人，也从只顾自己变成牺牲自己。导演人设也很有趣，挺不错的电影
Indecent time,看过,推荐,2016/9/11 22:30,62,高铁公路片，咬人止不住。明知山有腐，偏向釜山行。精英多作怪，大义小民补。韩影多煽情，终归制作足。
Crazy Henry,看过,力荐,2021/10/26 23:32,103,你走过三节丧尸的车厢，却走不过一节车厢的人心！
旅途人生,看过,推荐,2017/2/13 7:23,41,第一次看僵尸片，虽然并不恐怖，但令人感觉很不舒服！说这部电影领先中国30年毫不夸张！不说别的，就这敬业精神就不是中国演员能比的，群演的僵尸很逼真，如果换成中国绝对能成喜剧！考验人性，男主也从自私之人变成无私奉献之人，也从只顾自己变成牺牲自己。导演人设也很有趣，挺不错的电影
宋小卡,看过,还行,2016/9/14 19:19,55,感觉《釜山行》也没有，吹的，那么牛逼啊，完全用不到震惊世界这种词儿来形容吧……也就是对境界的追求上，高那么一乃乃吧，但所谓的人性表现也太简单！直给！着急！了，一点复杂性都妹有。而且，每当我看见群演们，释放天性，撒了欢儿的在空地上丧尸跑的时候，就打心眼儿里觉得，他们肯定都特高兴。
Indecent time,看过,推荐,2016/9/11 22:30,62,高铁公路片，咬人止不住。明知山有腐，偏向釜山行。精英多作怪，大义小民补。韩影多煽情，终归制作足。
▲,看过,力荐,2016/9/11 22:28,62,孕妇才是终极大Boss，跑全场跳火车打鸡血活到老。
蜉蝣,看过,较差,2016/9/11 21:29,35,好莱坞高仿中的标配基本款。
谢谢你们的鱼,看过,力荐,2016/9/11 23:58,30,非常面面俱到的主流僵尸商业片，逃脱方式上能利用僵尸的特性和弱点，狭小空间带给观众足够的紧张感和压迫感，角色鲜明塑造到位而对于人性的展现虽然点到为止但是五脏俱全，除了入戏有点慢我是没看到这其他的缺点。
荞麦,看过,推荐,2016/9/13 13:17,42,节奏还不错的商业片，虽然到了某些时候还是难免韩国人最爱的拖沓……不过怎么说呢，一流的商业片也不如二流文艺片有意思……
Un,看过,推荐,2018/1/12 17:51,26,影片可以给满分的，但是想了想还是打四颗星吧。影片很感人，揭露了人性的黑暗与丑陋，但正是这些黑色背景也从侧面烘托出了人类之间的大爱与团结，泪点突出，情节紧密性强👍，不错
大萌,看过,推荐,2016/9/16 21:38,35,里面有个害人精，看得我好生气啊！
