用户,是否看过,评分,评论时间,有用数,评论,,
远子,看过,推荐,2017/3/13 21:08,73,惨得太精致了点。,,
猪大腿,看过,推荐,2016/11/17 14:23,113,把血糊淋剌的生活全裹在绷带里不让你看见。船的名字细节好评。,,
猫猫,看过,推荐,2016/12/15 9:21,55,大本他们家祖传面瘫,,
Céline,看过,还行,2016/12/27 22:25,68,在影评一边倒的赞美中去看，失望而归。以不可弥补的人生遗憾作主题，本该拍出更动人的作品。剧本、镜头、节奏和电影语言都很棒，男主演技和魅力爆灯，有触动人心的片段，却难掩故事内核空虚，并没跳出典型的美国戏路（即便采用了欧式野心的我要现实、要感人、要让你思考），用心营造的细节也缺了微妙。,,
曼仔,看过,推荐,2016/12/4 8:54,57,二刷哭成傻逼。男女主演技太好了吧，葬礼和重逢那两场戏肝肠寸断。,,
渡边,看过,推荐,2017/2/16 9:49,68,丧，太丧了，难怪豆瓣评分这么高。镜头好，片子闷，镜头干爽利落，甚至精美，阴冷沉郁，气氛全出。男一男二表演出色，一冷一热，互补又互不侵染，这点很好。心里有坚冰，冬天就会格外长，乐观的人可能不太好理解，丧的人一看就懂。,,
小pig!,看过,力荐,2017/1/27 0:42,37,heart broken的男主、心脏病去世的哥哥、更换马达的Claudia Marie号，相互呼应。关于相助与自救。精巧扎实的剧本，铺陈上避免了那种“重新振作”的老调重弹，不过分煽情，为遗憾保留一席之地。全片闪烁着一种朴实冷静的生活的光彩。,,
翻滚吧！蛋堡,看过,力荐,2017/2/9 17:26,78,我只是不知道该如何开始生活，所以请继续那我留在阴影之中吧。,,
冰红深蓝,看过,推荐,2017/2/16 11:42,44,有些错误一旦犯下，就将一辈子啮噬着你。在至为酷烈的离丧与剥夺的冲击之下，李始终处于后知后觉的情感丧失状态。卡西的面瘫表演与角色特质完美契合，但若放往年的话这片会同[尘雾家园]一样仅获表演奖提名。配乐极佳但稍喧宾夺主，无缝闪回属惊艳之笔。侄子对冷藏柜的恐惧与前妻相遇戏很赞。（8.0/10）,,
文泽尔,看过,推荐,2017/3/25 17:18,42,比海更深,,
Iberian,看过,力荐,2017/2/6 21:21,40,太真实了，真实的不像是电影。因为生活就是这么悲哀，犯过的错误只会eat you alive，即时别人原谅了你，自己都不敢原谅自己。生活才不会因为他人的劝说和曾经辜负的人的宽恕而变好呢,,
私享史,看过,力荐,2017/2/27 13:36,22,洛杉矶时间今天下午我发在微博的：“《海边的曼彻斯特》拿下最佳原创剧本和最佳男主角应该是没有悬念，如果再能拿个最佳导演或者最佳影片就完美了~”结果说中了四分之三，挺好，没把最佳影片颁给故事内核弱爆的《爱乐之城》。回国后在【UA花城汇】又看了一遍，注意到导演客串了那个管闲事的路人。,,
剩下的盛夏,看过,力荐,2017/2/16 19:56,26,比起爱乐之城的明媚与忧伤，我更喜欢这一部的阴冷与心碎~,,
猪头妖怪,看过,推荐,2017/1/25 22:51,41,结尾处，Lee在地下室修管道时，老头所说的一番话差不多可视为本片的主旨：是的，这样的事情总是无声无息，没什么戏剧性。除了我们自己，没人知道也没人感兴趣，但它确实每天都在发生。而我们今天就要讲一个这样的故事。,,
謙淵,看过,推荐,2016/1/24 9:02,46,结尾有点仓促，希望如果上映的话bgm能改改。等下…亚马逊已经买了…,,
内陆飞鱼,看过,还行,2017/2/2 22:38,64,《海边的曼彻斯特》拍得老套，笨拙，叙述感不足，严重不喜欢来回不断穿插闪回这种生硬的表达方式，就只能看演员了，小本的弟弟，还真不错的。,,
偷乐居士,看过,力荐,2017/2/4 17:16,42,得到的都是侥幸，失去的都是人生。假如生活欺骗了你——忧郁的日子不会过去，快乐的日子也未必会到来……我太能理解这种看似不煽情却遍体鳞伤、近乎白描却无比沉重的人生了。8.5*（预测17年奥斯卡最佳原创剧本）,,
TT,看过,力荐,2017/2/24 12:47,53,电影的最后卡西对侄子说 我想要一个能放下沙发床的地方 等你来的时候你就可以住了 感觉黯淡无光的人生中在发出一点点小小的亮光,,
Neski.,看过,力荐,2017/2/26 23:11,47,可能有人会问卡西演得哪里好？这么说吧，前十分钟，我就已经感受到这个人完全是空的，心里什么都没有。那个伤口就这样摊着，谁都治不好，自己也不想治,,
张小北,看过,推荐,2017/10/22 19:26,27,一直等到国内引进正式公映后才看……还是在大银幕观影才是正途啊……看下载估计我看不完，太丧了……,,
后自愈,看过,推荐,2017/1/26 23:22,30,波澜不惊的生活下是永远无法和解的痛苦。那些刻骨铭心悲伤的过往，却也是他最珍贵的礼物。他只能和他糟糕的后半生这样走下去。片中克制的感情一如他冷漠的外表，不停的闪回一如缓缓流入他生命中的绝望。你清楚的知道无论是在波士顿还是曼彻斯特，永远会有那么一个把锅烧糊了的细节把你击败。,,
阿暖,看过,推荐,2017/2/9 19:58,37,卡西是用怎么样的心情看着十六岁的侄子呢，他谈恋爱打工玩乐队，人生还有无限可能，他不明白一个平凡的中年男人如何要用余生来缅怀曾经短暂的幸福，那种幸福原本也毫不光荣，但他已经什么都不剩了。很喜欢插叙部分，电影拍得很细腻，有意识地避免了一切戏剧性，但是居然很好看。,,
嘟嘟熊之父,看过,力荐,2017/1/25 14:53,25,时间是解药，毒药还是麻药。如同在久无波澜的水面投下一块大石，导演专注地书写悲伤二字，一分一秒，一笔一划，又因极致的平静让悲伤不再像悲伤。那些柔软、悔恨、冷漠与愤怒在男主的体内互相拉扯，又最终气力全无，唯有缴械投降。,,
喜儿喂鸭正经地,看过,还行,2017/3/15 10:10,31,看到最后还剩五分钟的时候终于坚持不住了睡着了,,
Joanna,看过,还行,2016/12/5 8:08,19,Soundtrack is horrible, distracting and annoying. Character development doesn't make sense to me. Cathy is good though.,
TimberNord,看过,力荐,2017/2/5 13:14,32,很好的防火教育警示片。作为house设计从业者，想说Log fuelling fireplace has been phased out by the industry，改用电加热然后投影假火焰。时代在进步，拍手称快，喜闻乐见。,,
U 兔,看过,力荐,2017/2/13 9:48,16,似乎没用什么特殊的拍摄手法，但单看某些段落就是感觉很舒服，很多中景都有微微运动，不易察觉但确实存在，营造了一种恰到好处的疏离感，还有低饱和度的丰富色彩、干干净净的构图，即便人不是很好看但依然养眼。终于看了一部最终什么都没有解决的电影，但稍有的松动让人都有舒一口气的余地。,,
猫语猫寻,看过,力荐,2017/2/23 0:25,36,这个世界有些地方阳光是照不进去的，有些伤注定是无法愈合的，甚至连血都无法干涸，身边的人除了帮你再次揭开伤口之外什么也做不了。可是却还要活下去。电影把这种感觉完全的展现了出来，你甚至都不会去关注演员好不好，台词好不好，景色美不美，音乐好不好听……因为你已看到那伤口的重量。,,
喜儿喂鸭正经地,看过,还行,2017/3/15 10:10,31,看到最后还剩五分钟的时候终于坚持不住了睡着了,,
明安,看过,推荐,2017/2/13 23:29,35,Life, huh?,
天明一钉,看过,推荐,2021/3/25 0:07,36,极度致郁，告诉你生活不是从来都会慢慢好转，心头的阴影也不会逐渐消散，有些伤痛一旦铸成，就连一生都无法治愈，只能就此苟延残喘、在时间的裹挟中艰难向前。Lee选择不与自己和解，但对于生活中的我们，还是尽量放过自己吧，过往的痛，不该由今日的自己承担。,,
LOOK,看过,还行,2017/1/27 15:17,34,作为创伤治愈电影，倒是没啥刻意做作的成分，没有让人一头栽到极致的悲痛情绪中，但生活流的处理方式却也没有挖掘出多少值得回味、有所醒悟的东西来，这可能与影像太实在有关。,,
托尼·王大拿,看过,力荐,2017/2/13 0:59,20,剧本的结构和素材取舍以及一定程度上的去戏剧化使得每一场戏都蕴含着巨大的情绪张力，表演的力量进一步增强了角色对故事的驱动力；亨德尔用得真好。,,
豆友3011868,看过,还行,2016/12/20 23:43,46,盛名之下，其实难副。电影语言是近乎完美，但是故事就是那么无聊一个内核。飙演技、秀情感、拼导演功底都不错，但既对技艺没有巨大贡献，也没有什么其他更深的东西可挖了。到处都是gesture，但也就是gesture一下而已了。,,
Crazy Henry,看过,力荐,2021/11/30 0:00,56,扣动扳机的时候他没有一丝犹豫，可即便最终没能扣下扳机，他的生命实际上还是死于那场大火的余烬里。,,
李濛Lemon,看过,力荐,2017/3/11 13:26,34,明明是一段撕心裂肺的往事，却被导演以极度克制的方式表现出来。电影用了很多空镜，很多叙事上的留白，用插叙的方式剖白了一个行尸走肉般男人的内心。片子从头到尾都弥漫着颓丧的气氛，不知不觉观众就沉溺其中不能自拔，没有哭天抢地，却更痛彻心扉。,,
LeungChanXXX,看过,推荐,2017/1/24 23:43,22,逃不出的悲恸回忆化成了飘不停的细雪，填不上的内心缺口惟凭冷风无情灌注。电影以极为克制冷冽的方式缓缓诉说着人生抱憾与失去的常态，但更可贵动容的在于刻画情感的细节，冰柜前崩溃和前妻偶遇两场戏印象尤其深刻。Casey Affleck的表演确实优异。,,
喻鸣,看过,力荐,2017/2/7 10:19,24,它太冷、太忍，凛冬白雪尚能在阳光下软化，陈年回忆却无法释怀；它又太伤、太丧，明明插科打诨也不少，悲伤却浓郁地化不开；它无视规则、不屑套路、反对一切粉饰；它任由主人公深陷泥潭，不给希望、不留出路。但不得不承认，这才是生活，世间哪有轻而易举的释怀？哪有那么多峰回路转的奇迹？,,
Ocap,看过,推荐,2017/1/26 0:13,27,4.5。曲击人心。敢于将传统思路中的戏剧点早早泄掉，牺牲本能更大化的情绪爆发力，在最佳时刻立起一个复杂而动人的角色。冷如海边的曼彻斯特，又暖似轻轻摩擦的人心，没有真正能被和解的过去，只有即便很累也要淡然面对的未来。今年BP三大热门中最没夺奖相的佳作，却是除爱乐外最让我喜欢的一部。,,
荔枝超人,看过,推荐,2017/2/5 22:49,42,又一堂人生必修课。了不起的“戏剧”！几乎每一场戏都是不冷场的。就像Alexander Payne拍了部是枝裕和。,,
猫语猫寻,看过,力荐,2017/2/23 0:25,36,这个世界有些地方阳光是照不进去的，有些伤注定是无法愈合的，甚至连血都无法干涸，身边的人除了帮你再次揭开伤口之外什么也做不了。可是却还要活下去。电影把这种感觉完全的展现了出来，你甚至都不会去关注演员好不好，台词好不好，景色美不美，音乐好不好听……因为你已看到那伤口的重量。,,
