用户,是否看过,评分,评论时间,有用数,评论,
小岩井,看过,力荐,2017/7/25 17:22,159,了不起的剧本，看了两遍发现细节满满，不败退休律师的提前到来，打不通菲利克斯的电话，以及中间闲聊的时候提到妻子以前在剧团工作，以及情妇前后长短发的改变，包括最后那支笔的几次特写，这样的剧情电影真的是让人感到反转的快感。所以还是那个意见，编剧才是一部剧的核心。即使中间猜到了结局但无碍,
焚紙樓,看过,很差,2017/8/2 18:50,33,弱，或，弱智，給這片的評價只能如此二擇。打從律師脫口自稱30年不敗，這部片就自我宣告無藥可救了──卡通人物亂入寫實懸疑，誰拍成功過？,
米粒,看过,还行,2018/1/29 19:22,44,查查说的没错啊，这不就是个天涯连载帖水平的故事吗，而且还是比较土锤那种一看就是“分享你现编的故事”，不是很想追下去的那种。。。当飞机电影看算是合格吧,
寒狐传媒,看过,力荐,2017/4/19 1:10,82,4.5星。鹿在林中跑，锅从天上来。老娘不发威，你当我是爱心律师啊。,
牛三牛,看过,力荐,2017/3/23 20:36,76,完了，我把年度个人最佳悬疑片提前确定了。,
冰红深蓝,看过,推荐,2017/9/30 14:33,39,作为犯罪悬疑片来说足够精彩和抓人了，节奏快，层层叠叠的罗生门式叙事。不过，就我个人来说，影片结束没多久后，那种由不断反转带来的压迫感与激动就消散了。如果从后现代理论角度看，本片也印证了“一切都是文本”的（继而一切叙事都是可疑的）观点。再仔细想想，影片也解构掉了自身。（8.0/10）,
Rilkelee,看过,较差,2017/5/12 19:22,21,烧脑，高智商；人性，神反转；一部豆瓣高分片就这么出来了哦耶！,
端木夜,看过,推荐,2018/2/27 17:01,57,特别烧脑，高智商对决，到处是伏笔，一直在反转再反转，挺刺激的,
唐唐唐唐唐唐-。,看过,力荐,2018/2/6 22:34,45,剧情很紧凑能抓人心 也烧脑 最后的反转真的意想不到 超级好看 推荐！,
哼哼.floweray,看过,力荐,2017/3/22 21:09,41,罗生门的框架在前三分之二极具张力，顿时有一种消失的爱人，控方证人的预感。日式推理看得多了，其实恍恍惚惚能感觉到律师的嫌疑，但是最后的最后还是让人大呼爽快。,
Bless_U,看过,力荐,2018/1/13 15:05,134,环环相扣，编剧的逻辑实在是缜密，佩服佩服。主演的演技也是没话说，一场脑力与演技的盛宴，全程跟着电影节奏走，这才是好电影！,
战将波舰金,看过,很差,2017/3/24 4:04,51,其实闭上眼睛听满天的弦乐部分能获得差不多的效果,
柴斯卡,看过,力荐,2017/9/17 1:23,91,用院线片的标准来看真是很精彩了 《控方证人》灵魂附体 这是各个流派的导演都希望拍出来的电影 结尾都看哭了 中产焦虑蔓延全片 颇有代入 往深了说 这是一场 传统行业把互联网按到地上操死 的 大型隐喻实录,
张熊熊,看过,还行,2017/3/24 16:18,74,撒一个谎，就要用一百个谎来圆。最近口碑爆棚的惊悚片，其实无非是对真相的多种推测加上各种各样的强行反转。。老司机看到二十分钟就已经猜到了结局。。。配乐和色调不错~,
沈贵人的酒,看过,力荐,2017/11/4 0:00,73,电影出来就去看了，和室友一起去看的，一直忘记评分了，当时在电影院看的时候一直在猜到底谁是凶手，一直以为劳拉是凶手，后来发现不是，后来又觉得男主有双重人格，发现又错了，突然感觉自己没了智商，唯一猜对的就是那位律师不是真的律师，此片伏笔好多，值得一看,
陈哈,看过,推荐,2017/3/21 13:09,48,悬疑度其实并不很强。快感在别处。,
Adalepemi,看过,力荐,2021/6/14 0:26,83,就喜欢这种，玩儿观众，但不把观众当傻逼的电影。,
二丫主张,看过,推荐,2018/2/13 17:18,58,结局反转太精彩了，值得推荐。,
周眠,看过,力荐,2017/9/17 22:36,34,把智商情商调到适中，观影的你就变成了全程倒吸凉气的空调。,
风间隼,看过,还行,2017/4/5 14:09,26,节奏不错，确实挺抓人，但悬疑的设置并没有超出希胖的那些套路。关键是缺乏情感吧，没什么能打动人心的力量。,
一起吃地瓜,看过,推荐,2018/3/20 21:00,25,惊悚但好看，密室杀人，剧情很烧脑，情节转折铺垫的很好，观影体验也很棒。,
過期貓糧,看过,还行,2017/4/4 18:09,53,太聪明也是一种烦恼，看到一半就被自己剧透了。,
左胸上的吸盘,看过,还行,2017/8/5 23:43,38,很好的剧本，完全被牵着走了。开场男主为了避免偷情公开不惜代价的做法非常傻逼，但随剧情推进，你看到的都是罗生门式的场景复现，这种结构很容易让观者附加价值判断的指责落空，编导的真正意图是缓缓堆积剧力，最终呈现一个在法律框架内斗智斗勇斗执行力的局。风格上是通常的西班牙电影，没有短脚。,
ZWW,看过,力荐,2018/2/1 22:39,55,反转反转再反转，刺激又过瘾！,
shininglove,看过,推荐,2017/3/24 12:51,22,西语系小成本惊悚片往往胜在叙事方法和视觉效果，它尽可能地让强情节戏剧冲突渲染不再那么露骨。,
愛永,看过,力荐,2017/9/20 14:11,24,以為猜到了結局，其實並沒有。就像電影中的傲慢謊言，終被意想不到的力量所收拾。犯錯不可怕，可怕的是對錯誤毫無悔意，且執意錯到底，人性之惡莫過於此。,
朱老板,看过,推荐,2017/10/14 22:37,30,故事再三告诉我们，开车的时候不要扭头和乘客说话。。。,
Rilkelee,看过,较差,2017/5/12 19:22,21,烧脑，高智商；人性，神反转；一部豆瓣高分片就这么出来了哦耶！,
蜉蝣,看过,推荐,2017/9/14 20:48,14,其实不太喜欢这种为了反转而反转的剧本，而且对于稍有观影量的影迷来说都很好猜到结局。好在视听能跟上剧本的容量，完成得不错。沉车这段太容易让人想到《惊魂记》，剧作和节奏都是一模一样的。,
七七的蟹子壳,看过,力荐,2022/3/25 22:06,55,还是男人了解男人啊。我老公一上来就说，也许这个男的撒谎呢，明明是他的主意，却赖给他情人。另外，不要低估一对为儿女报仇的父母的心啊。,
荞麦,看过,推荐,2017/5/26 19:29,32,看到一半就猜到了，但荷尔蒙令我对父母心感同身受……完蛋了,
哪吒男,看过,还行,2017/9/2 11:22,35,豆瓣实在太爱反转了,
breathe,看过,较差,2018/1/12 20:11,70,后面反转很不错，导演的把控力还是很强的。,
赫恩曼尼,看过,力荐,2018/1/8 16:17,22,看得大气不敢喘，不得不说，太牛掰了。值得二刷。,
吃薯片的猫,看过,推荐,2018/1/26 0:15,47,很不错的电影，导演节奏掌握的不错，悬疑，一环扣一环，最后妈妈那里印象深刻。,
愛永,看过,力荐,2017/9/20 14:11,24,以為猜到了結局，其實並沒有。就像電影中的傲慢謊言，終被意想不到的力量所收拾。犯錯不可怕，可怕的是對錯誤毫無悔意，且執意錯到底，人性之惡莫過於此。,
张天翼,看过,推荐,2017/3/29 18:37,39,好看！种种情节转折的心理基础都铺垫得合情合理。缺点是剪辑手法有点老套。,
野象小姐,看过,推荐,2017/9/17 23:54,32,男主角的每件衣服质量都好好，超强特写也没起球。老夫妇那么聪明，儿子却开车不系安全带还发短信…哭,
我初中就一直在练习变成哪吒,看过,力荐,2017/3/27 1:12,33,对于想尽办法拿证据这件事儿作为一个打过官司的我来说太太太感同身受。还有大家难道相信那两夫妇儿子真的没有系安全带和发短信吗？？？我想大喊一声！发克！,
kiki204629,看过,推荐,2017/3/21 21:54,44,没有痛苦，就没有拯救，人啊，不要自以为是以为只有自己最聪明。人性的阴暗面可以让人淡定面对自己的污点，道貌岸然的伪装起来，这个反转又反转的罗生门，最后终于拼凑起所有的真相。剧情流畅，张力十足，用套路反套路，见招拆招的对决，所以，还是痛快点，撕破脸皮坦诚相见才不会让自己一步步作死。,
女神的秋裤,看过,力荐,2017/4/8 7:54,28,很棒的悬疑片，看着过瘾啊，再也不敢得罪会表演的人,
葵花卷,看过,推荐,2017/4/1 8:58,31,开始以为男主情人是gone girl里狠毒美貌女性角色设定，到后面才发现姜还是老的辣。正义会迟到，不会缺席。,
荔枝超人,看过,还行,2017/8/27 17:15,13,西班牙的【心迷宫】,
张咏轩Wayne®,看过,推荐,2017/3/20 21:49,25,套用杀人案和灭口案，按罗生门的方式，不断推翻和重塑两起案子的动机和关联，以达到接近真相的目的，虽然结局不难猜，但过程剑拔弩张，暗流涌动迷雾重重，用关键细节和大胆引设，把悬疑氛围烘托至最高点，西班牙近年来的惊悚片以细致严谨的排兵布阵来玩结构式解构，还不乏扣人心弦的精彩，实为出类拔萃,
东林君,看过,推荐,2017/9/16 0:25,28,现在的人已经忘了一个有文化有决心的修车工是多么可怕。,
草威,看过,推荐,2017/4/23 23:43,14,老两口长得太好了，一对璧人。,
账房先生,看过,推荐,2017/9/26 1:19,17,在《白夜追凶》里到处都是指纹取证、DNA和马路监控，感情西班牙是没有这项技术呀！,
盘子,看过,推荐,2017/9/23 23:58,14,这个打分就难了，打高了呢，不爽，因为真的没啥大意思；打低了呢呢，创作者太委屈，因为显然故事完成得还是很不错的；打三星就更没劲了。琢磨了一下，自己做不到，那就还是四星吧。,
李濛Lemon,看过,推荐,2017/9/24 22:09,19,悬疑类影片的导演真不好当，只要被观众猜到故事走向，片子质量仿佛就打了折扣似的。本片的结局并不难猜，但私以为最华丽的部分并不是主角设下的阴谋，也不是编剧设下的叙事圈套，而是在真真假假的讲述间不断反转重构的真相。对白很精彩，聪明人之间的战争，仅靠语言就能实现攻击和防守。,
木偶,看过,力荐,2017/3/26 15:06,22,全程高能，不断挖坑，不断反转，难得的经典。,
落苏,看过,推荐,2017/10/1 14:18,49,剧情非常连贯，精神高度集中，结局惊艳反转，配合大气的音乐真是一场头脑风暴，非常好看，演员最喜欢那对夫妇和女主，很动容了。有一些想不通的点，比如在酒店女主被杀，男主为啥要撒钱？？不知道是bug还是没有看懂。,
眠去,看过,推荐,2017/9/28 9:35,23,审判一气呵成,
汽车大师,看过,还行,2017/9/23 14:44,23,总感觉创作班底品味不是太好,
我初中就一直在练习变成哪吒,看过,力荐,2017/3/27 1:12,33,对于想尽办法拿证据这件事儿作为一个打过官司的我来说太太太感同身受。还有大家难道相信那两夫妇儿子真的没有系安全带和发短信吗？？？我想大喊一声！发克！,
吴松张,看过,还行,2017/3/25 22:26,23,这部西语版《非常嫌疑犯》玩砸了的原因是男主的设定，智商飘忽不定，看完脑壳痛。,
女神的秋裤,看过,力荐,2017/4/8 7:54,28,很棒的悬疑片，看着过瘾啊，再也不敢得罪会表演的人,
木偶,看过,力荐,2017/3/26 15:06,22,全程高能，不断挖坑，不断反转，难得的经典。,
