排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
366,3143727,贼巢 Den of Thieves,2018,克里斯蒂安·古德加斯特,杰拉德·巴特勒/巴勃罗·施瑞博尔/小奥谢拉·杰克逊/50分/梅多·威廉姆斯/莫里斯·孔特/布莱恩·范·霍尔特/伊万·琼斯/莫·麦克雷/凯维·莱曼-默塞尤/道恩·奥利弗瑞/艾瑞克·布里登/约旦·布里奇斯/刘易斯·陈/库珀·安德鲁斯,动作/惊悚/犯罪,英语,美国,7.4,25571,14.10%,47.70%,34.70%,2.90%,0.60%,6654
367,27180356,完美的他人 완벽한타인,2018,李宰圭,柳海真/赵震雄/李瑞镇/廉晶雅/金智秀/宋昰昀/尹敬浩/智友,剧情/喜剧,韩语,韩国,7.4,20384,13.70%,47.30%,35.40%,3.00%,0.70%,6915
368,27191173,恋如雨止 恋は雨上がりのように,2018,永井聪,小松菜奈/大泉洋/清野菜名/矶村勇斗/叶山奖之/松本穗香/山本舞香/滨田麻里/户次重幸/吉田羊,剧情/爱情,日语,日本,7.4,16223,16.00%,43.30%,36.20%,3.70%,0.70%,6013
369,27046645,雷米奇遇记 Rémi sans famille,2018,安托万·布勒西耶,丹尼尔·奥特伊/玛勒姆·帕坎/维吉妮·拉朵嫣/乔纳森·扎凯/雅克·贝汉/露德温·塞尼耶/奥尔巴尼·马森/佐伊·博伊尔/尼古拉斯·罗尔/尼古拉·达菲特/西蒙·阿姆斯特朗/弗蕾尔·格夫里尔/杰罗姆·卡森/艾克萨维尔·拉菲特/艾略特·布森/泽维尔·玛利/鲁伯特·韦恩-詹姆斯,剧情,法语,法国 / 比利时,7.4,8520,14.60%,45.30%,36.10%,3.70%,0.40%,3260
370,26682880,过境 Transit,2018,克里斯蒂安·佩措尔德,弗兰茨·罗戈夫斯基/葆拉·贝尔/戈德哈尔德·吉瑟/莉莲·巴特曼/玛丽安·扎瑞/巴尔巴拉·奥尔/马蒂亚斯·勃兰特/塞巴斯蒂安·胡克/尤斯图斯·冯·多赫纳尼/亚历克斯·布伦德穆尔/特里斯坦·皮特/罗纳德·库克利斯,剧情,德语 / 法语 / 法国手语,德国 / 法国,7.4,5406,15.10%,46.40%,33.10%,4.40%,1.00%,2508
371,27075198,深红累之渊 累-かさね-,2018,佐藤祐市,土屋太凤/芳根京子/横山裕/筒井真理子/生田智子/村井国夫/檀丽/浅野忠信,剧情/悬疑/奇幻,日语,日本,7.4,16154,15.60%,45.70%,34.00%,3.90%,0.80%,6206
372,27066184,被抹去的男孩 Boy Erased,2018,乔尔·埃哲顿,卢卡斯·赫奇斯/妮可·基德曼/罗素·克劳/玛德琳·克莱因/维克托·麦凯/大卫·约瑟夫·克雷格/特洛耶·希文/艾米丽·辛克勒/德文·迈克尔/马特·伯克/林赛·莫泽/杰西·拉图雷特/布里顿·瑟尔/大卫·迪特莫尔/威廉·吴/乔尔·埃哲顿/泽维尔·多兰/蒂姆·韦尔/弗利/兰德尔·P·海文斯/乔·阿尔文,剧情/同性/传记,英语,澳大利亚 / 美国,7.4,21363,15.10%,44.80%,36.60%,3.10%,0.50%,7287
373,27029495,法外之王 Outlaw King,2018,大卫·马肯兹,克里斯·派恩/斯蒂芬·迪兰/亚伦·泰勒-约翰逊/丽贝卡·罗宾/比利·豪尔/萨姆·斯普卢尔 /乔纳森·菲利普斯/邓肯·拉克鲁瓦/卡兰·马尔韦/史蒂芬·克里/托尼·库兰/詹姆斯·科兹莫/阿拉斯塔尔·麦肯泽/洛恩·麦克菲登/弗洛伦丝·皮尤,剧情/动作/传记/历史,英语,英国 / 美国,7.4,7872,15.20%,45.90%,35.30%,3.20%,0.50%,2360
374,30196755,世界奇妙物语 2018年春季特别篇 世にも奇妙な物語 ’18春の特別編,2018,植田泰史,三浦春马/白石麻衣,科幻/悬疑/惊悚/恐怖,日语,日本,7.4,11305,15.60%,45.10%,35.40%,3.40%,0.50%,3889
375,27593912,盲点 Blindspotting,2018,卡洛斯·洛佩斯·埃斯特拉达,戴维德·迪格斯/拉斐尔·卡索/詹妮娜·加万卡/贾思敏·赛法斯·琼斯/伊桑·恩布里/提莎·坎贝尔-马丁/乌特卡什·安邦德卡尔/凯文·卡罗尔/尼扬比·尼扬比/乔恩·查芬/韦恩·奈特/马戈·霍尔,剧情/喜剧/犯罪,英语,美国,7.4,6783,15.90%,43.80%,33.90%,5.00%,1.40%,2263
